choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Milk Chocolate,Madécasse,3.5,Madagascar,44.0,Hybrid,Madagascar,Crossover,33.0,84.0,79.0,26.0,72.0,76.0,64.0,62.0,76.0,98.0,95.0,75.3,89.6,80.0
Shark's Dark,Hilo Shark,2.0,USA,60.0,Blend,Hawai'i USA,Naked,51.0,54.0,32.0,59.0,77.0,61.0,42.0,34.0,59.0,60.0,94.0,75.3,74.2,69.5
Hawaiian Dark,Madre,3.5,USA,70.0,Hybrid,Hawai'i USA,Crossover,52.0,84.0,40.0,19.0,45.0,67.0,59.0,63.0,38.0,86.0,71.0,80.7,90.8,86.0
Dominik 40,Zotter,4.0,Austria,40.0,Hybrid,Dominican Republic,Sugar,14.0,64.0,12.0,11.0,50.0,46.0,48.0,63.0,65.0,84.0,84.0,80.0,90.2,91.0
Costa Rican Dark,Madre,2.5,USA,70.0,Amazon,Costa Rica,Earthen,34.0,31.0,23.0,42.0,46.0,78.0,34.0,26.0,69.0,88.0,89.0,74.7,75.2,70.5
Golden Raw White,Organic Nectars,2.5,USA,,Hybrid,Ecuador,Earthen,6.0,58.0,21.0,36.0,44.0,76.0,42.0,43.0,47.0,72.0,80.0,74.7,82.8,78.5
Indio Rojo,Duffy's Red Star,5.0,UK,72.0,Indio,Honduras,Naked,94.0,54.0,32.0,21.0,55.0,91.0,54.0,0.0,78.0,94.0,89.0,93.3,94.4,92.0
Black Pearl,Vosges,2.0,USA,55.0,,,Spices,33.0,53.0,46.0,48.0,77.0,56.0,51.0,48.0,81.0,42.0,48.0,69.3,80.4,73.0
Cortés,Askinosie,3.0,USA,70.0,Hybrid,Honduras,Twang,34.0,38.0,79.0,41.0,61.0,94.0,40.0,42.0,71.0,90.0,83.0,92.7,76.2,79.5
Carenero,Rózsavölgyi,4.5,Hungary,73.0,Carenero,Venezuela,Naked,81.0,70.0,46.0,23.0,43.0,72.0,58.0,91.0,76.0,96.0,87.0,84.7,92.2,93.0
Grüntee,Zotter,0.0,Austria,35.0,,,Spices,8.0,44.0,19.0,48.0,51.0,77.0,12.0,10.0,71.0,82.0,83.0,49.3,49.6,26.0
Porcelana,Rózsavölgyi,3.5,Hungary,71.0,Criollo,Venezuela,Crossover,34.0,46.0,32.0,21.0,41.0,54.0,59.0,76.0,79.0,88.0,91.0,78.0,88.6,84.5
