choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Lapsang Souchong Chai,Raaka,3.0,USA,65.0,"mainly,",Bolivia,Earthen,39.0,41.0,31.0,51.0,71.0,64.0,58.0,56.0,67.0,76.0,62.0,84.7,86.6,80.0
Cocoa Nuts,Moho,4.5,Belize,,Criollo,Belize,Crossover,21.0,44.0,41.0,46.0,55.0,51.0,60.0,88.0,72.0,78.0,87.0,80.0,94.6,90.5
Madagascar,Amano,2.5,USA,70.0,Hybrid,Madagascar,Twang,42.0,57.0,78.0,26.0,52.0,73.0,58.0,44.0,72.0,78.0,79.0,71.3,76.4,73.0
Porcelana,Amedei,4.0,Italy,70.0,Criollo,Venezuela,Naked,84.0,46.0,22.0,21.0,40.0,10.0,42.0,77.0,43.0,80.0,83.0,80.7,92.4,95.5
Equateur,Bonnat,3.0,France,75.0,moderate,Ecuador,Earthen,76.0,51.0,46.0,77.0,76.0,82.0,77.0,84.0,78.0,100.0,64.0,75.3,80.6,85.5
Cuyagua,Amano,3.5,USA,70.0,Criollo,Venezuela,Fruits,76.0,69.0,55.0,35.0,56.0,60.0,61.0,50.0,34.0,72.0,69.0,78.7,89.4,89.5
Ocumare,Amano,3.0,USA,70.0,Criollo,Venezuela,Fruits,62.0,51.0,51.0,76.0,54.0,46.0,45.0,50.0,35.0,82.0,80.0,80.7,85.8,83.5
Chocolate w/ Almonds,Amedei,2.5,Italy,63.0,Blend,,Earthen,31.0,76.0,42.0,34.0,62.0,76.0,77.0,52.0,76.0,60.0,64.0,55.3,84.2,81.5
Bianco,Amedei,3.0,Italy,,,,Sugar,5.0,93.0,9.0,1.0,34.0,11.0,10.0,42.0,63.0,82.0,72.0,94.0,82.6,83.5
Toscano Brown,Amedei,3.5,Italy,32.0,Blend,,Earthen,31.0,76.0,24.0,41.0,76.0,52.0,53.0,60.0,77.0,92.0,81.0,81.3,86.4,88.0
Ecuador,Amedei,3.5,Italy,70.0,minor,Ecuador,Fruits,68.0,34.0,72.0,46.0,61.0,50.0,79.0,83.0,80.0,66.0,81.0,76.0,89.6,88.0
Grenada,Amedei,3.0,Italy,70.0,Hybrid,Grenada,Fruits,30.0,58.0,64.0,56.0,33.0,45.0,20.0,41.0,52.0,80.0,74.0,87.3,79.6,78.5
Jamaica,Amedei,3.0,Italy,70.0,Trinitario,Jamaica,Earthen,53.0,32.0,34.0,76.0,77.0,80.0,78.0,59.0,82.0,82.0,79.0,84.0,82.0,81.0
Madagascar,Amedei,4.5,Italy,70.0,Criollo,Madagascar,Fruits,28.0,54.0,60.0,20.0,32.0,76.0,80.0,71.0,29.0,72.0,91.0,88.0,94.0,93.5
Trinidad,Amedei,3.5,Italy,70.0,Trinitario,Trinidad,Fruits,46.0,78.0,69.0,67.0,28.0,54.0,60.0,63.0,61.0,74.0,81.0,85.3,88.0,90.0
Venezuela,Amedei,3.0,Italy,70.0,Criollo,Venezuela,Earthen,34.0,30.0,44.0,62.0,76.0,50.0,53.0,10.0,77.0,70.0,89.0,82.7,81.2,76.0
Toscano 63,Amedei,3.0,Italy,63.0,Blend,,Crossover,44.0,77.0,50.0,31.0,46.0,30.0,22.0,61.0,90.0,80.0,64.0,87.3,82.4,81.5
Toscano 66,Amedei,3.5,Italy,66.0,Blend,,Crossover,52.0,60.0,33.0,28.0,62.0,60.0,77.0,46.0,81.0,92.0,82.0,87.3,85.6,90.0
Toscano 70,Amedei,3.5,Italy,70.0,Blend,,Crossover,83.0,30.0,32.0,43.0,64.0,81.0,60.0,82.0,89.0,84.0,76.0,82.7,85.4,90.0
Toscano Blonde,Amedei,3.5,Italy,63.0,Blend,,Fruits,44.0,68.0,53.0,31.0,61.0,51.0,63.0,60.0,69.0,80.0,71.0,85.3,88.2,93.0
Toscano Red,Amedei,2.5,Italy,70.0,Blend,,Fruits,31.0,76.0,69.0,33.0,43.0,40.0,29.0,54.0,80.0,92.0,77.0,80.0,77.2,77.5
Chuao,Amedei,5.0,Italy,70.0,Criollo,Venezuela,Crossover,86.0,35.0,63.0,42.0,54.0,0.0,0.0,91.0,0.0,70.0,97.0,90.7,10.0,98.5
9,Amedei,3.5,Italy,75.0,Blend,,Crossover,76.0,41.0,69.0,20.0,63.0,60.0,81.0,69.0,41.0,100.0,81.0,84.0,86.2,85.0
Ceylan,Bonnat,3.5,France,75.0,Hybrid,Sri Lanka,Spices,44.0,43.0,53.0,39.0,70.0,61.0,76.0,64.0,42.0,82.0,76.0,80.0,86.0,86.5
Côte d'Ivoire,Bonnat,3.5,France,75.0,Amazon,Ivory Coast,Naked,90.0,33.0,34.0,21.0,80.0,10.0,5.0,64.0,71.0,100.0,73.0,80.7,87.4,89.5
El Rosario,Bonnat,3.5,France,75.0,Criollo,Venezuela,Crossover,69.0,33.0,45.0,68.0,61.0,77.0,76.0,78.0,80.0,100.0,81.0,78.7,87.2,87.5
Soconusco,Askinosie,3.0,USA,75.0,Amazon,Mexico,Crossover,66.0,42.0,71.0,34.0,35.0,52.0,55.0,43.0,68.0,100.0,83.0,69.3,83.4,82.5
Organic Dark,Blanxart,3.5,Spain,72.0,Blend,,Earthen,77.0,28.0,6.0,81.0,72.0,64.0,13.0,87.0,90.0,72.0,91.0,71.3,85.6,89.5
Asfarth,Bonnat,4.0,France,65.0,some,Indonesia,Spices,63.0,70.0,44.0,34.0,76.0,71.0,69.0,60.0,83.0,94.0,81.0,74.7,92.0,90.5
Java,Bonnat,2.5,France,65.0,vestigial,Indonesia,Earthen,45.0,50.0,65.0,35.0,75.0,80.0,70.0,45.0,70.0,82.0,62.0,84.0,83.2,76.0
Surabaya,Bonnat,3.0,France,65.0,vestigial,Indonesia,Spices,43.0,39.0,48.0,44.0,63.0,56.0,76.0,51.0,80.0,82.0,54.0,74.7,86.6,86.0
San Jose del Tambo,Askinosie,2.0,USA,70.0,disputable,Ecuador,Crossover,20.0,15.0,80.0,77.0,81.0,87.0,56.0,59.0,48.0,100.0,10.0,78.7,64.2,66.0
52%,Cacao Noel,1.5,France,52.0,Amazon,Ivory Coast,Earthen,71.0,69.0,8.0,11.0,70.0,24.0,12.0,66.0,48.0,80.0,61.0,65.3,69.6,70.5
Teyuna,Domori,2.5,Italy,70.0,Hybrid,Colombia,Twang,27.0,35.0,78.0,60.0,23.0,77.0,51.0,42.0,61.0,76.0,83.0,80.7,74.8,76.0
Barrique,Domori,2.0,Italy,75.0,,,Spices,37.0,31.0,41.0,39.0,28.0,37.0,30.0,54.0,52.0,86.0,84.0,78.0,69.2,61.5
Esmeraldas,Domori,4.0,Italy,75.0,Criollo,Colombia,Crossover,76.0,51.0,43.0,21.0,63.0,30.0,56.0,79.0,59.0,88.0,91.0,85.3,88.2,88.5
Papuandar,Domori,3.5,Italy,70.0,Hybrid,Papua New Guinea,Earthen,40.0,38.0,62.0,47.0,69.0,56.0,50.0,53.0,48.0,78.0,80.0,80.7,88.6,89.0
Milk,Callebaut,1.5,Belgium,32.0,,,Earthen,39.0,82.0,14.0,12.0,67.0,48.0,11.0,80.0,58.0,84.0,51.0,78.7,67.2,70.5
Noir,Callebaut,0.5,Belgium,56.0,Blend,,Earthen,81.0,86.0,9.0,4.0,64.0,66.0,10.0,52.0,49.0,86.0,61.0,59.3,58.6,56.0
Maya Gold,Green & Black’s,0.0,UK,55.0,Hybrid,Belize,Fruits,16.0,63.0,79.0,27.0,54.0,33.0,8.0,32.0,61.0,76.0,69.0,54.0,44.8,33.0
Nibs Bar,Dagoba,2.5,USA,68.0,,,Earthen,60.0,64.0,33.0,36.0,57.0,29.0,40.0,69.0,52.0,56.0,78.0,80.7,79.2,88.0
House Blend,Jacques Torres,1.5,USA,60.0,Blend,(West Africa),Naked,81.0,76.0,24.0,16.0,79.0,28.0,17.0,64.0,68.0,62.0,34.0,70.7,76.4,69.0
San Jose del Tambo Nibble,Askinosie,2.5,USA,70.0,disputable,Ecuador,Crossover,53.0,41.0,62.0,54.0,61.0,65.0,61.0,44.0,70.0,94.0,80.0,81.3,78.2,78.5
Soconusco Nibble,Askinosie,4.0,USA,75.0,Amazon,Mexico,Earthen,63.0,24.0,46.0,65.0,71.0,78.0,57.0,64.0,70.0,98.0,74.0,78.7,89.8,90.5
Sexy,NewTree,0.5,Belgium,73.0,Amazon,,Earthen,34.0,41.0,52.0,40.0,69.0,49.0,30.0,22.0,46.0,92.0,65.0,61.3,58.2,43.5
Blush,NewTree,1.5,Belgium,73.0,Amazon,,Earthen,56.0,47.0,46.0,44.0,61.0,32.0,18.0,37.0,39.0,94.0,61.0,81.3,63.6,73.0
Vigor,NewTree,2.5,Belgium,73.0,Amazon,,Earthen,35.0,32.0,46.0,64.0,49.0,48.0,34.0,58.0,62.0,98.0,77.0,82.0,69.6,78.0
Forgiveness,NewTree,2.0,Belgium,73.0,Amazon,,Crossover,54.0,35.0,60.0,49.0,48.0,53.0,50.0,51.0,54.0,120.0,79.0,78.0,70.8,60.5
Rejoice,NewTree,1.5,Belgium,33.0,Amazon,,Sugar,20.0,64.0,61.0,11.0,39.0,17.0,23.0,39.0,58.0,94.0,68.0,82.0,64.0,61.0
Cocoon,NewTree,1.5,Belgium,33.0,Amazon,,Sugar,19.0,56.0,44.0,0.0,63.0,32.0,29.0,53.0,57.0,94.0,71.0,80.0,58.4,70.5
Tranquility,NewTree,2.0,Belgium,33.0,Amazon,,Sugar,26.0,68.0,55.0,11.0,51.0,23.0,49.0,70.0,54.0,94.0,68.0,58.7,79.4,69.0
Ocumare,Rogue,4.0,USA,70.0,Criollo,Venezuela,Crossover,77.0,43.0,44.0,42.0,70.0,52.0,76.0,81.0,58.0,100.0,69.0,81.3,90.2,89.0
Sambirano,Rogue,3.0,USA,70.0,Hybrid,Madagascar,Crossover,33.0,43.0,57.0,36.0,61.0,45.0,47.0,43.0,59.0,100.0,81.0,82.7,82.6,84.5
Bresil,Pralus,3.5,France,75.0,Amazon,Brazil,Earthen,63.0,33.0,56.0,49.0,66.0,52.0,49.0,72.0,68.0,90.0,81.0,96.0,83.6,85.5
Colombie,Pralus,2.5,France,75.0,Hybrid,Colombia,Crossover,51.0,43.0,44.0,53.0,67.0,60.0,70.0,40.0,71.0,96.0,83.0,81.3,76.6,81.0
Trinidad,Pralus,4.0,France,75.0,Trinitario,Trinidad,Earthen,40.0,38.0,53.0,55.0,84.0,81.0,86.0,85.0,90.0,76.0,80.0,87.3,90.6,92.0
Ocumare,Chocovic,4.0,Spain,71.0,Criollo,Venezuela,Naked,73.0,48.0,34.0,39.0,70.0,57.0,41.0,0.9,62.0,86.0,81.0,82.7,91.2,89.5
Guyave,Chocovic,4.0,Spain,71.0,Hybrid,Grenada,Crossover,67.0,60.0,45.0,68.0,80.0,56.0,52.0,71.0,73.0,84.0,81.0,84.0,87.4,93.0
Sao Tome,Pralus,4.0,France,75.0,Amazon,São Tomé,Earthen,67.0,41.0,52.0,54.0,86.0,40.0,43.0,71.0,65.0,96.0,80.0,92.7,85.4,90.5
Gruner & Rote,Coppeneur,0.0,Germany,,,,Crossover,7.0,82.0,10.0,3.0,9.0,21.0,18.0,24.0,60.0,42.0,36.0,75.3,41.2,43.5
Mango Lassi,Coppeneur,1.0,Germany,,,,Sugar,21.0,84.0,36.0,2.0,29.0,10.0,31.0,26.0,35.0,80.0,31.0,86.0,55.6,69.0
Ghana,Pralus,2.5,France,75.0,Amazon,Ghana,Earthen,76.0,40.0,41.0,37.0,76.0,39.0,28.0,52.0,66.0,96.0,53.0,62.7,79.4,84.5
Indonesie,Pralus,2.0,France,75.0,vestigial,Indonesia,Twang,44.0,35.0,79.0,64.0,80.0,72.0,61.0,28.0,70.0,88.0,84.0,71.3,70.4,59.0
Papouasie,Pralus,3.5,France,75.0,Criollo,Papua New Guinea,Crossover,63.0,44.0,30.0,28.0,61.0,33.0,36.0,59.0,62.0,80.0,71.0,80.0,87.8,91.0
Negro,Blanxart,0.0,Spain,62.0,Amazon,,Earthen,42.0,73.0,11.0,49.0,78.0,38.0,27.0,48.0,59.0,56.0,36.0,78.7,34.8,31.0
Leche,Blanxart,2.5,Spain,33.0,Amazon,,Earthen,28.0,81.0,7.0,11.0,77.0,19.0,18.0,58.0,60.0,68.0,69.0,68.7,78.4,78.5
Equateur,Pralus,0.5,France,75.0,Hybrid,Ecuador,Spices,43.0,32.0,38.0,51.0,86.0,56.0,21.0,20.0,59.0,92.0,58.0,58.0,58.8,46.0
Crave,NewTree,1.0,Belgium,33.0,,,Fruits,13.0,88.0,41.0,15.0,64.0,82.0,26.0,38.0,73.0,96.0,81.0,52.0,59.0,56.0
Cuba,Pralus,4.0,France,75.0,Trinitario,Cuba,Naked,77.0,51.0,52.0,45.0,78.0,33.0,39.0,60.0,61.0,94.0,83.0,79.3,89.2,90.5
Melissa,Pralus,1.5,France,45.0,some,Indonesia,Earthen,44.0,51.0,39.0,33.0,78.0,56.0,51.0,40.0,52.0,86.0,46.0,54.7,77.4,64.0
Leche y Avellanas,Blanxart,3.0,Spain,33.0,,,Earthen,27.0,70.0,19.0,8.0,77.0,43.0,51.0,58.0,62.0,58.0,67.0,84.0,84.2,89.0
Le 100,Pralus,4.0,France,100.0,+,Madagascar,Crossover,93.0,48.0,54.0,21.0,73.0,55.0,63.0,72.0,80.0,88.0,84.0,93.3,87.8,81.5
Chuao,Bonnat,3.5,France,75.0,Criollo,Venezuela,Spices,32.0,31.0,44.0,60.0,80.0,46.0,41.0,38.0,57.0,100.0,89.0,73.3,84.2,85.0
Negro con Almendras,Blanxart,2.0,Spain,62.0,,,Earthen,60.0,73.0,21.0,10.0,76.0,42.0,25.0,37.0,61.0,54.0,49.0,67.3,80.6,80.5
100%,Bonnat,4.0,France,100.0,mostly,,Earthen,23.0,2.0,71.0,82.0,66.0,91.0,53.0,84.0,95.0,92.0,90.0,94.7,83.8,87.5
Puerto Cabello,Bonnat,4.0,France,75.0,some,Venezuela,Crossover,63.0,33.0,46.0,77.0,76.0,70.0,86.0,93.0,91.0,100.0,77.0,76.0,93.2,94.5
Porcelana,Bonnat,4.5,France,75.0,Criollo,Venezuela,Naked,87.0,76.0,12.0,10.0,54.0,63.0,30.0,91.0,64.0,92.0,84.0,84.7,94.6,93.0
Madagascar 67,Patric,3.0,USA,67.0,remote,Madagascar,Twang,29.0,63.0,79.0,16.0,57.0,54.0,42.0,33.0,52.0,94.0,78.0,80.0,83.4,82.5
Madagascar,Bonnat,2.0,France,75.0,Hybrid,Madagascar,Twang,53.0,34.0,69.0,65.0,67.0,42.0,31.0,52.0,34.0,96.0,64.0,66.0,72.0,69.5
Trinite,Bonnat,3.0,France,75.0,Trinitario,Trinidad,Spices,21.0,24.0,83.0,90.0,46.0,82.0,89.0,66.0,71.0,100.0,76.0,75.3,82.2,88.5
Tanzanie,Castelain,1.0,France,75.0,Hybrid,Tanzania,Twang,41.0,39.0,76.0,64.0,52.0,54.0,40.0,34.0,60.0,96.0,68.0,70.0,60.2,63.0
Macaibo,Castelain,4.5,France,70.0,Blend,,Naked,94.0,77.0,42.0,33.0,61.0,80.0,69.0,86.0,76.0,94.0,79.0,97.3,92.2,89.5
Chocolat Lait,Castelain,3.5,France,37.0,Blend,,Earthen,19.0,58.0,21.0,3.0,64.0,37.0,36.0,76.0,57.0,96.0,82.0,84.0,85.6,89.5
Venezuela,Pralus,3.5,France,75.0,primarily,Venezuela,Earthen,66.0,37.0,59.0,26.0,82.0,71.0,40.0,48.0,68.0,94.0,77.0,84.0,85.6,87.0
Wit-Blanc,Callebaut,1.5,Belgium,,,,Sugar,11.0,91.0,11.0,1.0,29.0,14.0,4.0,60.0,50.0,78.0,56.0,89.3,66.4,57.5
Cafe,Castelain,4.0,France,71.0,,,Earthen,40.0,36.0,47.0,43.0,56.0,45.0,43.0,76.0,72.0,98.0,91.0,86.0,88.0,89.0
Jade,Chocovic,3.0,Spain,40.0,Blend,,Earthen,41.0,76.0,44.0,10.0,66.0,43.0,41.0,43.0,52.0,64.0,80.0,74.0,89.4,84.5
Maragda,Chocovic,3.5,Spain,70.0,Blend,,Fruits,53.0,65.0,40.0,54.0,61.0,82.0,76.0,80.0,71.0,72.0,69.0,82.7,88.2,90.0
Chuao,Valrhona,4.0,France,65.0,Criollo,Venezuela,Crossover,77.0,65.0,44.0,22.0,43.0,78.0,71.0,79.0,73.0,94.0,83.0,85.3,89.8,88.5
Guaranda,Chocovic,2.0,Spain,71.0,CCN-51,Ecuador,Sugar,51.0,61.0,30.0,40.0,79.0,24.0,23.0,44.0,52.0,88.0,57.0,88.7,66.8,68.0
Opal,Chocovic,2.5,Spain,31.0,,,Sugar,32.0,84.0,23.0,8.0,66.0,41.0,29.0,47.0,53.0,92.0,69.0,80.7,75.6,76.0
Infernale Lait,Pralus,4.0,France,48.0,some,Indonesia,Spices,42.0,78.0,63.0,14.0,81.0,70.0,65.0,52.0,71.0,100.0,81.0,79.3,89.6,91.5
Gianduja,Vosges,0.0,USA,,,,Earthen,18.0,67.0,8.0,5.0,79.0,10.0,0.0,11.0,42.0,34.0,46.0,46.0,44.2,28.5
Peru,Lindt,2.5,Switzerland,80.0,Amazon,Peru,Spices,78.0,45.0,39.0,57.0,68.0,59.0,52.0,31.0,81.0,100.0,69.0,87.3,75.8,69.0
Milk Choc w/ Hazelnuts,Castelain,2.5,France,37.0,,,Earthen,58.0,71.0,22.0,30.0,51.0,50.0,48.0,61.0,70.0,90.0,69.0,89.3,76.4,82.0
Dark w/ Almonds,Castelain,2.5,France,71.0,,,Earthen,61.0,51.0,31.0,48.0,52.0,51.0,44.0,43.0,52.0,96.0,72.0,86.0,74.6,82.0
Dark w/ Nibs,Castelain,2.5,France,71.0,Amazon,,Earthen,70.0,44.0,36.0,38.0,78.0,52.0,46.0,41.0,45.0,100.0,79.0,90.7,72.4,79.0
Noir Intense,Castelain,3.5,France,77.0,Blend,,Earthen,81.0,55.0,40.0,70.0,72.0,73.0,70.0,79.0,76.0,100.0,76.0,84.7,84.4,91.5
Red Fire,Vosges,0.0,USA,55.0,,,Crossover,35.0,43.0,59.0,21.0,80.0,77.0,24.0,31.0,92.0,68.0,48.0,45.3,43.8,36.5
Iara Organic,Coppeneur,4.0,Germany,72.0,Nacional,Ecuador,Naked,83.0,49.0,5.0,40.0,90.0,28.0,10.0,66.0,61.0,92.0,87.0,80.0,90.8,84.0
Iara w/ Pepper,Coppeneur,3.5,Germany,,Nacional,Ecuador,Spices,49.0,42.0,33.0,64.0,80.0,81.0,78.0,70.0,92.0,100.0,90.0,92.0,82.2,85.0
Iara Dunkle,Coppeneur,1.5,Germany,82.0,Nacional,Ecuador,Earthen,71.0,17.0,22.0,82.0,0.0,90.0,10.0,77.0,81.0,100.0,10.0,59.3,58.2,61.5
Clasificado,Felchlin,3.5,Switzerland,65.0,modest,Venezuela,Naked,92.0,76.0,10.0,16.0,77.0,31.0,10.0,83.0,62.0,88.0,81.0,94.0,84.0,78.0
Creole,Felchlin,3.0,Switzerland,49.0,modest,Venezuela,Earthen,46.0,63.0,21.0,13.0,70.0,28.0,30.0,74.0,41.0,84.0,79.0,94.7,80.8,85.5
Criolait,Felchlin,3.0,Switzerland,38.0,modest,Venezuela,Earthen,19.0,88.0,11.0,3.0,61.0,14.0,36.0,68.0,51.0,76.0,81.0,82.7,83.4,89.5
Venezuela,Theo,2.0,USA,91.0,Blend,Venezuela,Earthen,32.0,11.0,56.0,76.0,77.0,82.0,31.0,80.0,79.0,100.0,69.0,80.7,70.6,62.0
Ghana,Theo,2.5,USA,84.0,Amazon,Ghana,Earthen,38.0,22.0,46.0,87.0,90.0,79.0,18.0,30.0,83.0,92.0,81.0,85.3,72.6,68.5
Java,Coppeneur,4.0,Germany,72.0,moderate,Indonesia,Spices,64.0,46.0,54.0,50.0,81.0,62.0,67.0,65.0,70.0,90.0,92.0,87.3,89.0,90.5
Iara Vollmilch,Coppeneur,4.0,Germany,62.0,Nacional,Ecuador,Earthen,80.0,63.0,43.0,70.0,84.0,62.0,70.0,73.0,71.0,82.0,90.0,84.7,88.6,90.0
Iara Pur,Coppeneur,4.5,Germany,100.0,Nacional,Ecuador,Earthen,32.0,4.0,14.0,81.0,77.0,86.0,43.0,72.0,90.0,100.0,90.0,87.3,88.4,94.0
Golden Bean,High Integrity,0.5,USA,70.0,,,Earthen,42.0,61.0,24.0,57.0,0.0,78.0,33.0,18.0,46.0,76.0,61.0,32.7,52.6,48.5
Ocumare w/ Nibs+Chili,Coppeneur,4.0,Germany,72.0,Criollo,Venezuela,Spices,78.0,40.0,30.0,82.0,90.0,81.0,44.0,52.0,83.0,76.0,90.0,89.3,90.2,90.0
Menavava,Coppeneur,3.5,Germany,72.0,Hybrid,Madagascar,Twang,60.0,56.0,70.0,47.0,72.0,63.0,61.0,58.0,66.0,100.0,91.0,85.3,83.6,78.0
Menavava Vollmilch,Coppeneur,3.0,Germany,52.0,Hybrid,Madagascar,Earthen,78.0,80.0,20.0,29.0,70.0,33.0,30.0,43.0,44.0,92.0,73.0,78.7,84.8,85.0
Java Vollmilch,Coppeneur,3.0,Germany,62.0,vestigial,Indonesia,Crossover,23.0,40.0,79.0,76.0,84.0,82.0,89.0,78.0,63.0,80.0,81.0,84.7,83.6,76.0
Choc-covered Nibs,Scharffen Berger,1.5,USA,,,,Crossover,49.0,78.0,26.0,14.0,66.0,51.0,40.0,35.0,57.0,70.0,62.0,72.0,70.6,68.0
Arriba,Felchlin,4.0,Switzerland,72.0,residual,Ecuador,Fruits,77.0,46.0,31.0,43.0,88.0,68.0,59.0,81.0,79.0,90.0,73.0,86.0,89.6,91.0
Renew,NewTree,0.5,Belgium,73.0,Blend,,Fruits,45.0,21.0,77.0,51.0,70.0,84.0,18.0,40.0,26.0,96.0,80.0,71.3,48.6,55.5
Pleasure,NewTree,3.0,Belgium,73.0,,,Fruits,76.0,61.0,67.0,41.0,43.0,57.0,44.0,60.0,62.0,96.0,67.0,86.0,79.8,79.0
Mad 70,Patric,3.5,USA,70.0,remotely,Madagascar,Fruits,50.0,47.0,61.0,32.0,43.0,46.0,49.0,44.0,42.0,86.0,91.0,68.7,85.4,88.0
Ocumare,Coppeneur,5.0,Germany,72.0,Subclone,Venezuela,Naked,81.0,43.0,39.0,54.0,76.0,67.0,17.0,64.0,49.0,100.0,90.0,82.7,93.4,94.5
Tsachili,Coppeneur,2.0,Germany,75.0,distant,Ecuador,Earthen,29.0,46.0,33.0,64.0,83.0,80.0,14.0,56.0,70.0,96.0,69.0,75.3,77.4,66.0
Uba Budo,Coppeneur,3.5,Germany,72.0,Amazon,São Tomé,Earthen,56.0,44.0,40.0,51.0,66.0,42.0,20.0,53.0,77.0,100.0,73.0,82.7,85.8,85.5
Uba Budo Vollmilch,Coppeneur,2.5,Germany,52.0,Amazon,São Tomé,Earthen,41.0,80.0,10.0,31.0,78.0,14.0,22.0,43.0,56.0,82.0,80.0,72.7,76.6,79.0
70%,Santander,3.5,Colombia,70.0,Criollo/Pajarito,Colombia,Fruits,69.0,53.0,60.0,81.0,61.0,80.0,64.0,61.0,68.0,84.0,91.0,84.7,85.8,82.0
65%,Santander,3.5,Colombia,65.0,Criollo/Pajarito,Colombia,Fruits,51.0,64.0,56.0,22.0,42.0,66.0,76.0,77.0,70.0,82.0,80.0,81.3,87.2,90.0
53%,Santander,3.0,Colombia,53.0,Criollo/Pajarito,Colombia,Naked,40.0,71.0,41.0,10.0,52.0,29.0,28.0,46.0,38.0,68.0,80.0,79.3,82.2,80.0
Milk Chocolate,Santander,3.5,Colombia,36.0,Criollo/Pajarito,Colombia,Crossover,44.0,67.0,31.0,13.0,56.0,32.0,63.0,80.0,79.0,68.0,79.0,80.0,87.2,89.5
Madagascar,Felchlin,3.0,Switzerland,64.0,,Madagascar,Naked,84.0,62.0,31.0,16.0,58.0,20.0,27.0,47.0,66.0,80.0,98.0,87.3,86.4,63.0
Dark Chocolate Espresso,Santander,4.0,Colombia,70.0,Criollo/Pajarito,Colombia,Earthen,40.0,53.0,46.0,34.0,70.0,73.0,80.0,84.0,86.0,74.0,86.0,79.3,92.6,95.0
Dark Choc w/ Coffee Bits,Santander,4.0,Colombia,70.0,Criollo/Pajarito,Colombia,Earthen,44.0,28.0,63.0,41.0,54.0,27.0,60.0,81.0,72.0,80.0,81.0,82.0,90.2,94.5
Choc-covered Nibs,Santander,4.0,Colombia,53.0,Criollo/Pajarito,Colombia,Sugar,76.0,80.0,53.0,28.0,46.0,78.0,24.0,46.0,51.0,100.0,80.0,94.0,85.8,86.0
Dark,Waialua,3.5,USA,70.0,Blend,Hawai'i USA,Fruits,55.0,58.0,71.0,58.0,67.0,52.0,53.0,46.0,76.0,78.0,68.0,87.3,87.6,88.5
Madagascar,Pralus,2.5,France,75.0,Criollo,Madagascar,Earthen,59.0,30.0,90.0,81.0,86.0,74.0,23.0,50.0,77.0,74.0,71.0,90.7,79.4,70.0
Ylang Ylang,Coppeneur,2.0,Germany,72.0,,,Fruits,41.0,78.0,39.0,31.0,60.0,57.0,44.0,34.0,91.0,96.0,71.0,65.3,72.8,76.0
Lavender & Cranberry,Coppeneur,0.0,Germany,72.0,,,Twang,14.0,87.0,96.0,5.0,38.0,92.0,9.0,43.0,51.0,94.0,72.0,44.0,34.6,19.5
Blueberry/Nibs,Coppeneur,2.0,Germany,,,,Fruits,23.0,86.0,42.0,4.0,46.0,25.0,30.0,43.0,41.0,48.0,62.0,67.3,74.6,79.0
Milk Almond,Scharffen Berger,3.5,USA,41.0,,,Earthen,38.0,61.0,32.0,51.0,78.0,64.0,76.0,37.0,69.0,92.0,72.0,84.0,86.8,85.5
Dark,Blommer,0.5,USA,,Amazon,,Earthen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,59.0,62.0,58.2,57.0
Trinidad,Rogue,1.0,USA,70.0,Trinitario,Trinidad,Crossover,38.0,41.0,57.0,52.0,64.0,67.0,68.0,19.0,58.0,100.0,76.0,54.7,59.4,56.0
Mint Dark,Divine,2.5,Germany,70.0,Amazon,Ghana,Crossover,61.0,56.0,40.0,24.0,66.0,52.0,42.0,53.0,64.0,88.0,63.0,81.3,77.4,82.0
Hispaniola,Rogue,5.0,USA,70.0,Hybrid,Dominican Republic,Crossover,61.0,44.0,50.0,56.0,80.0,91.0,87.0,94.0,73.0,100.0,83.0,86.7,94.4,94.0
Milk,Dagoba,4.0,USA,37.0,Blend,,Spices,77.0,81.0,35.0,5.0,44.0,53.0,66.0,83.0,78.0,66.0,89.0,82.7,91.2,93.5
Chai,Dagoba,3.0,USA,37.0,Blend,,Spices,59.0,70.0,52.0,10.0,50.0,37.0,68.0,41.0,63.0,60.0,77.0,69.3,86.0,85.5
Latte,Dagoba,2.0,USA,37.0,Blend,,Earthen,59.0,73.0,44.0,27.0,52.0,23.0,30.0,81.0,49.0,90.0,60.0,93.3,73.6,66.0
Lime,Dagoba,3.0,USA,59.0,Blend,,Crossover,70.0,42.0,79.0,41.0,67.0,84.0,71.0,88.0,75.0,66.0,78.0,84.0,84.8,89.0
White,Dagoba,3.5,USA,,,,Sugar,17.0,82.0,3.0,3.0,24.0,15.0,39.0,42.0,37.0,80.0,70.0,91.3,85.6,90.0
Jamaica,Rogue,3.0,USA,70.0,Trinitario,Jamaica,Earthen,62.0,44.0,49.0,56.0,70.0,48.0,51.0,54.0,57.0,94.0,84.0,83.3,80.8,81.0
59%,Dagoba,4.0,USA,59.0,Blend,,Fruits,61.0,44.0,54.0,48.0,52.0,80.0,81.0,64.0,28.0,80.0,83.0,81.3,90.8,85.5
Lavender,Dagoba,2.0,USA,59.0,Blend,,Spices,70.0,63.0,51.0,44.0,77.0,31.0,23.0,56.0,47.0,82.0,96.0,80.7,65.4,60.0
