choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
70%,Strita Supreme,USA,2.5,70.0,54.0,59.0,33.0,31.0,66.0,37.0,16.0,20.0,34.0,82.0,79.0,78.7,78.4,69.5
Mokaya,Cluizel,France,4.0,66.0,78.0,66.0,28.0,18.0,61.0,57.0,26.0,56.0,62.0,90.0,77.0,88.0,88.2,89.0
Venezuela Sur del Lago Noir,A. Morin,France,3.0,70.0,58.0,46.0,60.0,34.0,66.0,71.0,60.0,54.0,76.0,94.0,71.0,78.7,87.2,74.5
Chuao,A. Morin,France,5.0,70.0,66.0,77.0,64.0,26.0,56.0,82.0,89.0,93.0,81.0,82.0,82.0,82.7,97.4,96.5
Pineapple Chili,Mānoa,USA,3.0,60.0,26.0,46.0,64.0,31.0,61.0,71.0,84.0,46.0,90.0,70.0,67.0,88.7,82.0,81.5
Noir Jamaiques,A. Morin,France,3.5,70.0,64.0,51.0,31.0,32.0,69.0,47.0,46.0,85.0,73.0,78.0,66.0,85.3,90.0,85.5
Fijian 55%,Cravve,Australia,2.5,55.0,14.0,85.0,76.0,41.0,39.0,55.0,48.0,42.0,49.0,58.0,94.0,58.0,84.6,74.0
Vanuatu 64%,Cravve,Australia,0.5,64.0,29.0,36.0,34.0,79.0,88.0,61.0,30.0,11.0,76.0,74.0,43.0,61.3,59.6,51.5
Samoa 73%,Cravve,Australia,3.5,73.0,62.0,38.0,14.0,36.0,34.0,39.0,46.0,50.0,72.0,80.0,82.0,82.7,89.8,83.5
Himalayan Pink Salt,Millcreek Cacao Roasters,USA,4.0,70.0,61.0,34.0,24.0,44.0,61.0,68.0,53.0,64.0,56.0,90.0,82.0,81.3,90.0,88.0
Cuba 70%,A. Morin,France,3.0,70.0,76.0,46.0,12.0,41.0,83.0,53.0,10.0,69.0,61.0,76.0,76.0,74.7,85.2,79.0
Panama 70%,A. Morin,France,4.0,70.0,96.0,46.0,14.0,16.0,76.0,66.0,10.0,88.0,63.0,80.0,79.0,80.7,92.6,89.5
Vanuatu Milk Chocolate,Daintree Estates,Australia,1.5,45.0,13.0,73.0,19.0,33.0,62.0,51.0,20.0,26.0,46.0,86.0,71.0,65.3,69.2,60.0
Mexique Xoconusco Real,A. Morin,France,3.5,70.0,38.0,44.0,82.0,47.0,54.0,67.0,58.0,61.0,76.0,84.0,68.0,75.3,90.4,87.0
Oialla 78%,Bojesen,Denmark,5.0,78.0,76.0,58.0,41.0,34.0,53.0,55.0,57.0,80.0,51.0,94.0,83.0,88.0,95.6,93.0
Côte d'Ivoire,A. Morin,France,3.5,63.0,83.0,76.0,11.0,11.0,66.0,51.0,16.0,78.0,71.0,84.0,79.0,81.3,89.2,80.0
Dominican Republic,Dick Taylor,USA,1.0,74.0,27.0,44.0,98.0,36.0,52.0,91.0,46.0,16.0,55.0,96.0,71.0,84.0,48.8,58.5
Oialla Milk Chocolate,Bojesen,Denmark,2.0,46.0,26.0,64.0,14.0,16.0,55.0,60.0,21.0,32.0,58.0,94.0,93.0,76.7,68.4,62.0
Milk of the Gods,Willie's,UK,2.5,44.0,29.0,46.0,7.0,37.0,76.0,57.0,25.0,33.0,71.0,92.0,90.0,72.7,74.4,74.0
Belize,Dick Taylor,USA,3.0,72.0,41.0,51.0,46.0,36.0,64.0,55.0,47.0,60.0,57.0,98.0,60.0,89.3,83.2,76.5
Madagascar,A. Morin,France,5.0,70.0,44.0,76.0,61.0,41.0,76.0,72.0,84.0,81.0,76.0,78.0,81.0,95.3,96.0,94.5
Solomon Islands 75%,Cravve,Australia,4.0,75.0,43.0,69.0,41.0,22.0,51.0,41.0,56.0,78.0,64.0,66.0,76.0,88.0,93.4,87.0
Madagascar 77%,Cravve,Australia,1.0,77.0,54.0,19.0,31.0,82.0,90.0,78.0,26.0,24.0,13.0,44.0,67.0,80.7,62.6,43.0
Madagascar 64%,Cravve,Australia,2.5,64.0,37.0,64.0,23.0,34.0,76.0,56.0,47.0,39.0,64.0,62.0,69.0,71.3,84.6,77.5
Samoa Milk,Daintree Estates,Australia,4.0,50.0,34.0,76.0,51.0,33.0,64.0,61.0,83.0,78.0,76.0,84.0,79.0,80.0,96.2,79.5
Noir Papouasie Nouvelle Guinee,A. Morin,France,4.0,70.0,39.0,46.0,70.0,36.0,76.0,66.0,80.0,76.0,76.0,78.0,78.0,94.7,92.0,89.0
Southern 7,Cravve,Australia,4.5,72.0,82.0,59.0,8.0,57.0,70.0,26.0,46.0,90.0,73.0,70.0,86.0,92.0,92.8,89.0
Mò Cày,Vietcacao,Vietnam,4.0,70.0,31.0,72.0,47.0,34.0,74.0,59.0,78.0,64.0,76.0,78.0,80.0,88.7,92.2,88.0
Mò Cày au Lait,Vietcacao,Vietnam,3.5,40.0,31.0,76.0,27.0,22.0,71.0,59.0,51.0,74.0,70.0,74.0,83.0,92.0,87.8,80.5
Birmanie,A. Morin,France,4.0,70.0,64.0,48.0,45.0,32.0,76.0,66.0,52.0,69.0,76.0,92.0,87.0,91.3,90.0,87.0
Australia,Daintree Estates,Australia,0.5,65.0,31.0,68.0,10.0,64.0,76.0,55.0,12.0,16.0,34.0,76.0,70.0,62.0,53.4,41.0
New Britain,Daintree Estates,Australia,3.0,70.0,31.0,76.0,34.0,34.0,42.0,68.0,50.0,46.0,70.0,74.0,79.0,78.7,84.2,83.0
Diego's Decadence,Kallari-Sacha,Ecuador,1.5,85.0,13.0,22.0,19.0,51.0,29.0,69.0,25.0,16.0,47.0,64.0,83.0,74.0,65.6,53.5
Roberto's Recipe,Kallari-Sacha,Ecuador,2.5,75.0,22.0,39.0,32.0,42.0,34.0,61.0,55.0,44.0,49.0,68.0,81.0,78.7,82.4,77.0
Sisa's Secret,Kallari-Sacha,Ecuador,3.0,70.0,31.0,64.0,36.0,30.0,34.0,51.0,46.0,52.0,56.0,70.0,82.0,80.0,83.8,78.5
Hone Creek,CariBeans,Costa,2.0,72.0,34.0,36.0,21.0,38.0,65.0,46.0,12.0,32.0,44.0,76.0,72.0,76.0,71.4,65.5
Talamanca Organica,CariBeans,Costa,2.5,72.0,47.0,42.0,28.0,24.0,56.0,44.0,24.0,37.0,50.0,80.0,71.0,80.0,76.2,74.0
Patiño Angel,CariBeans,Costa,3.0,72.0,26.0,46.0,50.0,76.0,61.0,72.0,37.0,46.0,57.0,78.0,76.0,79.3,89.2,79.0
Raw 70% Cacao 2013,Pacari,Ecuador,4.0,70.0,13.0,58.0,79.0,46.0,26.0,54.0,57.0,44.0,72.0,72.0,82.0,92.0,91.0,89.5
San Rafael de Cahuita,CariBeans,Costa,3.0,72.0,27.0,36.0,39.0,46.0,61.0,55.0,34.0,49.0,56.0,74.0,75.0,78.7,88.6,79.5
Unroasted Nib Crunch,CariBeans,Costa,2.5,80.0,21.0,33.0,29.0,63.0,5.0,56.0,26.0,36.0,47.0,76.0,80.0,82.0,74.2,73.0
San Martin 70%,Potomac,USA,3.0,70.0,21.0,48.0,79.0,36.0,50.0,76.0,33.0,42.0,66.0,94.0,82.0,75.3,86.2,78.0
Napa,Van Leer,USA,3.0,65.0,64.0,61.0,40.0,42.0,76.0,51.0,47.0,72.0,64.0,82.0,72.0,89.3,81.2,74.0
Criollo,Nanea,USA,0.0,85.0,16.0,31.0,19.0,56.0,42.0,47.0,30.0,4.0,52.0,42.0,48.0,46.7,42.4,27.0
Hawai'i Blend,Nanea,USA,1.0,85.0,11.0,42.0,26.0,76.0,54.0,47.0,36.0,22.0,56.0,78.0,61.0,70.7,63.6,50.5
85%,Nanea,USA,4.0,85.0,38.0,43.0,30.0,57.0,54.0,76.0,28.0,66.0,61.0,76.0,84.0,86.7,94.2,88.0
Blend 85%,Nanea,USA,3.0,85.0,28.0,34.0,21.0,51.0,54.0,30.0,29.0,44.0,48.0,84.0,70.0,83.3,88.0,76.0
Alaea Sea Salt,Nanea,USA,1.0,85.0,24.0,14.0,7.0,31.0,52.0,46.0,22.0,12.0,48.0,60.0,73.0,83.3,60.4,53.0
Antigua Hacienda La Concepción,República del Cacao,Ecuador,2.5,85.0,27.0,30.0,24.0,56.0,60.0,54.0,36.0,40.0,63.0,90.0,88.0,81.3,77.2,66.5
Puira Perou CS,A. Morin,France,2.0,70.0,16.0,26.0,13.0,56.0,66.0,32.0,12.0,25.0,59.0,88.0,86.0,86.0,68.2,67.5
Puira Perou AO,A. Morin,France,3.5,70.0,34.0,38.0,90.0,36.0,47.0,87.0,38.0,44.0,76.0,96.0,85.0,81.3,87.4,79.5
Chanchamayo,A. Morin,France,4.0,70.0,29.0,72.0,76.0,34.0,52.0,76.0,59.0,62.0,64.0,80.0,75.0,89.3,90.0,89.0
"Chiapas, Mexico",Bar au Chocolat,USA,4.0,70.0,30.0,44.0,76.0,29.0,46.0,66.0,62.0,76.0,72.0,98.0,71.0,87.3,88.8,89.0
100%,Amma,Brazil,4.0,100.0,11.0,52.0,29.0,36.0,42.0,37.0,41.0,44.0,63.0,80.0,94.0,91.3,90.2,79.5
Moontime,Nova Monda,USA,3.5,54.0,48.0,61.0,27.0,41.0,52.0,54.0,34.0,70.0,72.0,94.0,65.0,88.7,87.2,94.0
Tumbes Cooperative,French Broad,USA,4.0,70.0,16.0,56.0,76.0,47.0,54.0,68.0,58.0,62.0,55.0,92.0,84.0,83.3,89.4,88.0
Palo Blanco Chulucanas 81%,French Broad,USA,2.0,81.0,26.0,46.0,62.0,57.0,54.0,66.0,33.0,25.0,46.0,94.0,88.0,78.0,68.8,60.5
Palo Blanco Chulucanas 66%,French Broad,USA,3.0,66.0,10.0,61.0,66.0,24.0,55.0,58.0,29.0,62.0,64.0,84.0,64.0,80.7,87.4,81.0
